STOCK_EXCHANGE,STOCK_SYMBOL,INTERVEL ,NO OF  DAYS,STOCK NAME
NSE,ASHOKA,86400,4000,Ashoka Buildcon Limited
NSE,BEDMUTHA,86400,4000,Bedmutha Industries Limited
NSE,WABAG,86400,4000,VA Tech Wabag Limited
NSE,CANTABIL,86400,4000,Cantabil Retail India Limited
NSE,GALLISPAT,86400,4000,Gallantt Ispat Limited
NSE,ESL,86400,4000,Electrosteel Steels Limited
NSE,GREENPOWER,86400,4000,Orient Green Power Company Limited
NSE,RAMKY,86400,4000,Ramky Infrastructure Limited
NSE,CAREERP,86400,4000,Career Point Limited
NSE,EROSMEDIA,86400,4000,Eros International Media Limited
NSE,SASTASUNDR,86400,4000,Sastasundar Ventures Limited
NSE,ORISSAMINE,86400,4000,The Orissa Minerals Development Company Limited
NSE,DEEPAKNTR,86400,4000,Deepak Nitrite Limited
NSE,DIAPOWER,86400,4000,Diamond Power Infra Ltd
NSE,KILITCH,86400,4000,Kilitch Drugs (India) Limited
NSE,INDOSOLAR,86400,4000,Indosolar Limited
NSE,WELINV,86400,4000,Welspun Investments and Commercials Limited
NSE,HINDCOPPER,86400,4000,Hindustan Copper Limited
NSE,ADFFOODS,86400,4000,ADF Foods Limited
NSE,GPPL,86400,4000,Gujarat Pipavav Port Limited
NSE,PRAKASHSTL,86400,4000,Prakash Steelage Limited
NSE,UGARSUGAR,86400,4000,The Ugar Sugar Works Limited
NSE,PDPL,86400,4000,Parenteral Drugs (India) Limited
NSE,BAJAJCORP,86400,4000,Bajaj Corp Limited
NSE,FARMAXIND,86400,4000,Farmax India Limited
NSE,IITL,86400,4000,Industrial Investment Trust Limited
NSE,BHARATFIN,86400,4000,Bharat Financial Inclusion Limited
NSE,AHLEAST,86400,4000,Asian Hotels (East) Limited
NSE,AHLWEST,86400,4000,Asian Hotels (West) Limited
NSE,USHERAGRO,86400,4000,Usher Agro Limited
NSE,EMAMIINFRA,86400,4000,Emami Infrastructure Limited
NSE,BLISSGVS,86400,4000,Bliss GVS Pharma Limited
NSE,IMFA,86400,4000,Indian Metals & Ferro Alloys Limited
NSE,HMVL,86400,4000,Hindustan Media Ventures Limited
NSE,TECHNOFAB,86400,4000,Technofab Engineering Limited
NSE,TI,86400,4000,Tilaknagar Industries Limited
NSE,UMESLTD,86400,4000,Usha Martin Education & Solutions Limited
NSE,PARABDRUGS,86400,4000,Parabolic Drugs Limited
NSE,KIRLOSIND,86400,4000,Kirloskar Industries Limited
NSE,PIONDIST,86400,4000,Pioneer Distilleries Limited
NSE,RAINBOWPAP,86400,4000,Rainbow Papers Limited
NSE,SUNDARAM,86400,4000,Sundaram Multi Pap Limited
NSE,GUJNREDVR,86400,4000,Gujarat NRE Coke Limited
NSE,JPINFRATEC,86400,4000,Jaypee Infratech Limited
NSE,SJVN,86400,4000,SJVN Limited
NSE,MANDHANA,86400,4000,Mandhana Industries Limited
NSE,KSL,86400,4000,Kalyani Steels Limited
NSE,TARAPUR,86400,4000,Tarapur Transformers Limited
NSE,NITESHEST,86400,4000,Nitesh Estates Limited
NSE,TALWALKARS,86400,4000,Talwalkars Better Value Fitness Limited
NSE,KIRLOSBROS,86400,4000,Kirloskar Brothers Limited
NSE,ISFT,86400,4000,Intrasoft Technologies Limited
NSE,ASIANHOTNR,86400,4000,Asian Hotels (North) Limited
NSE,PERSISTENT,86400,4000,Persistent Systems Limited
NSE,WHIRLPOOL,86400,4000,Whirlpool of India Limited
NSE,PRADIP,86400,4000,Pradip Overseas Limited
NSE,IL&FSTRANS,86400,4000,IL&FS Transportation Networks Limited
NSE,LGBBROSLTD,86400,4000,LG Balakrishnan & Bros Limited
NSE,TRF,86400,4000,TRF Limited
NSE,UNITEDBNK,86400,4000,United Bank of India
NSE,MANINFRA,86400,4000,Man Infraconstruction Limited
NSE,TEXMOPIPES,86400,4000,Texmo Pipes and Products Limited
NSE,DEEPIND,86400,4000,Deep Industries Limited
NSE,KECL,86400,4000,Kirloskar Electric Company Limited
NSE,SMPL,86400,4000,Splendid Metal Products Limited
NSE,ARSSINFRA,86400,4000,ARSS Infrastructure Projects Limited
NSE,ORIENTLTD,86400,4000,Orient Press Limited
